source,type,target,confidence,evidence
CIMMYT,produces,maize,extracted,CIMMYT maize products newly licensed
true cost accounting,located_in,Kenya,extracted,true costs of food production in Kenya and Vietnam
low trophic aquaculture,uses,bioinformatics analysis,inferred,framework draws on global information sources and published research
multi-stakeholder collaboration,located_in,Ghana,extracted,multi-stakeholder dialogue in Ghana
land restoration,uses,oil palm,extracted,reclamation of post-mined lands through oil palm-based restoration systems
informal food vendors,located_in,Quezon City,extracted,vendor business school program in Quezon City
gender-responsive solutions,addresses,smallholder farmer,inferred,solutions that center women in crisis response
water monitoring system,located_in,Uzbekistan,extracted,responsible scaling in water-scarce regions of Uzbekistan
urban agriculture,located_in,Quezon City,extracted,urban farmers in Quezon City trained
perennial vegetable production,part_of,urban agriculture,extracted,trained urban farmers on perennial vegetable production techniques
home gardening,located_in,Dhaka,extracted,"home gardening training among urban dwellers in Dhaka, Bangladesh"
bioinformatics analysis,located_in,CIAT,extracted,internship at CIAT Colombia on analysis of high-throughput sequencing data
sustainable business model,targets,bean,extracted,modelos de negocio for bean production associations
sustainable business model,located_in,Putumayo,extracted,"associations located in Valle de Sibundoy (Putumayo, Colombia)"
water harvesting,located_in,Totonicapán,extracted,"trained producers in Totonicapán, Guatemala on adaptive water harvesting"
CIAT,targets,indigenous communities,extracted,workshop led by CIAT researchers and aimed at indigenous communities
participatory approach,produces,socio-ecological resilience,extracted,participatory approach contributed to socio-ecological resilience
Breeding for Tomorrow,part_of,CGIAR,extracted,CGIAR's Breeding for Tomorrow Science Program
trait deployment,uses,genomic prediction,inferred,genomic prediction of cross performance in breeding programs
Bioflow,addresses,genomic prediction,extracted,new module in Bioflow for genomic prediction of cross performance
potato,located_in,Cumbal Indigenous Reserve,extracted,potato cultivation in the Indigenous Reserve of Cumbal
integrated pest management,addresses,phytosanitary risks,extracted,sustainable integrated pest management alternatives
mechanized direct seeded rice,uses,alternate wetting and drying,extracted,mDSR package including water-saving alternate wetting and drying
mechanized direct seeded rice,uses,balanced nutrient management,extracted,mDSR package including balanced nutrient management
IRRI,located_in,Vietnam,inferred,"pilot fields in Can Tho, Dong Thap, An Giang, and Ca Mau"
IWMI,collaborates_with,Kenya,extracted,IWMI established strategic partnership with Kenya's State Department
integrated aquaculture agriculture,located_in,Egypt,extracted,expand adoption of IAA systems in Egypt
WorldFish,collaborates_with,Egypt,extracted,MoU signed between WorldFish and SDCMR
Nile tilapia,part_of,integrated aquaculture agriculture,extracted,Abbassa tilapia strain for integrated aquaculture-agriculture farms
transabdominal ultrasonography,uses,artificial insemination,extracted,assess success rates of AI campaign using ultrasonography
ICARDA,collaborates_with,Tunisia,extracted,ICARDA's collaboration with OEP in Tunisia
fair data principles,addresses,data management,extracted,implementing FAIR data principles for agricultural research
IITA,located_in,West Africa,extracted,West Africa Hub led by International Institute of Tropical Agriculture
digital agricultural advisory services,targets,smallholder farmers,extracted,digital platforms to help address constraints by smallholder farmers
innovation networks,produces,capacity building,extracted,innovation networks as enabling mechanisms for capacity strengthening
seed conservation,produces,food sovereignty,inferred,seed conservation promoting food sovereignty
crop diversification,addresses,food security,extracted,diversification supporting food security
heritability metrics,part_of,plant breeding,extracted,heritability metrics in plant breeding programs
climate adaptation,uses,innovation networks,extracted,innovation networks for climate adaptation
livestock early warning systems,uses,seasonal forage forecasting,extracted,"seasonal grazing and feeding forecasts, when combined with operational feed budgeting and stocking rate advisory tools"
livestock early warning systems,targets,pastoralists,extracted,"enables pastoralists, extension agents, and humanitarian and development actors to take earlier action"
livestock-based lending,located_in,Oromia Region,extracted,"launched in June 2025 in Muke Turi Town, Wachale Woreda, Oromia Region"
livestock-based lending,targets,smallholder farmers,extracted,enables smallholder dairy farmers to use their cows as collateral to access credit
Htwet Toe,produces,digital climate advisory services,extracted,farmers installed (Htwet Toe) application to access to Digital Climate Advisory Services
Village Link Limited,produces,Htwet Toe,extracted,Htwet Toe application of Village Link Limited company
post-harvest management,uses,hermetic storage,extracted,"hermetic storage systems (bags, silos, or plastic containers)"
post-harvest management,located_in,Huehuetenango,extracted,"training activities conducted in Huehuetenango, Guatemala"
territorial innovation networks,located_in,Guatemala,extracted,territorial innovation networks in Guatemala
territorial innovation networks,uses,participatory research,extracted,Participatory research with biofortified crops
International Potato Center,produces,Ask-the-Data,extracted,The International Potato Center developed Ask-the-Data
Ask-the-Data,targets,agricultural researchers,extracted,allows researchers to explore and analyze agricultural data
Lúa Việt,uses,Rice Crop Manager,extracted,integrates other digital tools such as Rice Crop Manager
FemiWash Network,uses,training manual on mainstreaming gender,extracted,FemiWash Network has resolved to use the training manual to train its members
conservation agriculture,located_in,Guatemala,extracted,"conservation agriculture in Huehuetenango, Chimaltenango, Chiquimula and Zacapa, Guatemala"
crop simulation modeling,uses,APSIM,extracted,process-based crop simulation (APSIM) with climate ensembles
crop simulation modeling,located_in,Morocco,extracted,Morocco case study evaluated factorial combinations
digital agriculture,uses,iot sensor networks,extracted,"use of IoT sensors, satellite and drone imagery"
Digital Agroclimatic Plots,uses,satellite imagery analysis,extracted,high-resolution satellite imagery (PlanetScope)
Digital Agroclimatic Plots,located_in,Colombia,extracted,Digital agroclimatic plots' visits in Colombia and Guatemala
ICARDA,located_in,Syria,extracted,"ICARDA's Seed Health Laboratory in Aleppo, Syria"
seed health testing,addresses,seed-borne pathogens,extracted,reduce the spread of seed-borne pathogens
cryopreservation,uses,IPK,extracted,CIP signed a black box agreement with IPK for the deposition
human-centered design,targets,agroclimatic bulletins,extracted,applying human-centered design for the development and implementation of community agroclimatic bulletins
climate-smart agriculture,addresses,climate change adaptation,inferred,Climate-Smart Agriculture and Ecosystem-based Adaptation to soil regeneration and agroecosystem resilience
Alliance of Biodiversity and CIAT,uses,PICSA,extracted,training aimed at technical staff leveraging lessons learned and expert facilitation in the PICSA methodology
participatory climate services,uses,PICSA,extracted,workshop was based on the Participatory Integrated Climate Services for Agriculture (PICSA) methodology
data-driven agriculture,uses,machine learning,extracted,"integrates climatic, soil, and agronomic management data using machine learning techniques"
Random Forest,is_a,machine learning,extracted,analyzed with Random Forest models to identify key yield determining factors
crop modeling,uses,DSSAT,extracted,describes the calibration of a DSSAT crop model for biofortified maize varieties
DSSAT,targets,smallholder farmers,extracted,supports participatory climate services by generating planting date recommendations to enhance climate-smart decision making for smallholder farmers
community-based climate observation,uses,citizen science,extracted,showing how citizen science strengthens climate adaptation through local monitoring
climate monitors,uses,community-based climate observation,inferred,training for climate monitors and the role of climate monitors in data collection
nursery management,uses,biosecurity,extracted,practical guidance on carp nursery management with a strong focus on biosecurity
carp,uses,nursery management,extracted,"Effective nursery management is therefore essential to ensure the production of healthy, robust, and high-quality fingerlings"
homestead aquaculture,targets,food security,inferred,integrate homestead aquaculture and vegetable gardening at household and school levels
school feeding programs,addresses,food security,inferred,integration of locally produced fish powder into School Meal Programs
Local Technical Agroclimatic Committees,uses,participatory climate services,extracted,MTA was established as a participatory space to analyze climate conditions and forecasts
human-centered design,targets,smallholder farmers,extracted,"emphasized placing farmers at the center of service design to improve usability, relevance, and impact"
AClimate,targets,smallholder farmers,extracted,"accessed and used by 7,912 active users who are farmers, extension agents and policymakers"
AClimate,uses,crop modeling,extracted,"integrating historical climate data, monitoring, seasonal forecasts, and crop-modelling components"
enset,located_in,Ethiopia,extracted,Southern Ethiopian farmers have cultivated a solution: A drought-tolerant plant
enset,uses,drought tolerance,extracted,drought-tolerant plant that stores both food and feed in its tissues year-round
climate-smart agriculture,addresses,climate variability,inferred,practices adapted to climate variability and local conditions
extension services,targets,smallholder farmers,inferred,Limited coverage of agricultural extension services in Mesoamerica has constrained the adoption of practices
social protection,addresses,climate adaptation,extracted,how social assistance programs can influence women's and girls' ability to cope with climate-related flooding
early warning systems,uses,community-based climate observation,extracted,"these observations support early warning, risk communication, and agricultural decision-making"
CIMMYT,collaborates_with,Alliance of Biodiversity and CIAT,extracted,implemented within the CGIAR Scaling For Impact science program in collaboration with the Bioversity–CIAT Alliance and CIMMYT
maize,located_in,Guatemala,extracted,"6,500 observations from smallholder maize plots in the western highlands of Guatemala"
maize,located_in,Chiapas,extracted,"More than 4,500 production records from Chiapas, Mexico"
AfricaRice,uses,satellite-based crop monitoring,extracted,digital monitoring system that combines satellite imagery with climate data
satellite-based crop monitoring,targets,rice,extracted,"platform tracks rice growth stages, water usage, and yield patterns"
AWARE platform,addresses,disaster risk management,extracted,strengthen disaster preparedness for vulnerable communities
IFPRI,uses,stakeholder engagement,extracted,organized two national policy dialogues bringing together 272 participants
stakeholder engagement,produces,agrifood system transformation,extracted,"established actionable pathways for sustainable, inclusive agrifood system transformation"
digital financial services,uses,satellite-based crop monitoring,extracted,combining plot-level climate and soil health data with remote sensing
digital financial services,targets,smallholder farmers,extracted,bundled credit-insurance solution for improving smallholder farmer resilience
biofortification,uses,wheat,extracted,"zinc-biofortified wheat scaled across Punjab, Pakistan"
HarvestPlus,collaborates_with,CIMMYT,extracted,"coordinated efforts between Punjab Agriculture Department, Ayub Agriculture Research Institute, HarvestPlus, CIMMYT"
SukhaRakshak,addresses,drought management,extracted,artificial intelligence tool for drought management
IWMI,produces,SukhaRakshak,extracted,International Water Management Institute developed SukhaRakshak
FEAST,uses,participatory research,extracted,"participatory, action-oriented approach used to understand how farmers source and use livestock feed"
Meghdoot,provides,digital advisory services,extracted,deliver location- and crop-specific weather-based agro-advisories
Meghdoot,located_in,India,extracted,national digital platform developed to deliver advisories to farmers across India
AgDx,uses,digital agriculture assessment,extracted,"farmer-centric digital public good designed to measure, benchmark, and accelerate digital transformation"
early warning systems,addresses,disaster risk management,extracted,"strengthen early warning systems across various hazards, sectors and regions"
ILRI,uses,soil health assessment,extracted,comprehensive study evaluating how overgrazing affects soil health
soil health assessment,located_in,Kenya,extracted,study in Western Kenya's smallholder farming systems
climate suitability mapping,addresses,climate-smart agriculture,inferred,assess where and when crops can be sustainably grown under current and future climate conditions
solar irrigation,addresses,precision agriculture,inferred,helps farmers choose the right size of solar-powered pumping system based on crop water needs
double haploid breeding,uses,rice,extracted,advanced double haploid elite rice lines evaluated in Gabon
community-based communication,targets,smallholder farmers,extracted,"radio dramas reach over 400,000 listeners in Kenya's arid lands"
digital advisory services,targets,smallholder farmers,extracted,delivering essential climate information and agricultural advice to rural communities
precision agriculture,uses,satellite-based crop monitoring,inferred,data-driven approaches using remote sensing for farm optimization
climate-conflict analysis,uses,Climate Security Observatory,extracted,presenting the Climate Security Observatory and Integrated Climate Security Framework
cropping systems design,uses,APSIM,extracted,process-based simulation using APSIM
zero tillage,produces,soil water conservation,extracted,Zero tillage improves soil water conservation and stabilizes yields
supplementary irrigation,addresses,yield variability,extracted,Supplementary irrigation reduces interannual yield variability
purse seine fisheries,located_in,Abu Qir Bay,extracted,purse seine fisheries in Abu Qir Bay
purse seine fisheries,targets,Engraulis encrasicolus,extracted,"Small pelagic fishes, particularly Engraulis encrasicolus and Sardinella aurita, dominated the catch"
purse seine fisheries,targets,Sardinella aurita,extracted,"Small pelagic fishes, particularly Engraulis encrasicolus and Sardinella aurita, dominated the catch"
food systems transformation,located_in,Mekong Delta,extracted,food systems in the Mekong River Delta
Alliance of Bioversity International and CIAT,collaborates_with,National Institute of Nutrition,extracted,collaboration between the Alliance of Bioversity International and CIAT and the National Institute of Nutrition
nutrition-sensitive agriculture,targets,smallholder farmers,inferred,practical multisectoral foundation for linking different aspects of the food systems in the local planning process
impact evaluation,uses,IFPRI,extracted,develop and implement best fit practices for evaluating the impact of scaling strategies
genomic selection,uses,GIANT strain,extracted,existing reference genomes of wild populations are unsuitable to implement genomic selection
GIANT strain,is_a,Oreochromis niloticus,extracted,WorldFish Genetically Improved Abbassa Nile tilapia (GIANT) elite strain
solar irrigation,targets,smallholder farmers,extracted,adoption among smallholder farmers remains limited
extension agents,addresses,solar irrigation,extracted,extension services increase SIP adoption by 14 percentage points
equilibrium displacement modeling,uses,IRRI,extracted,IRRI developed an equilibrium displacement model
supply chain mapping,uses,IFPRI,extracted,developed by the International Food Policy Research Institute (IFPRI)
CIMMYT,collaborates_with,Bangladesh Agricultural Research Institute,extracted,"CIMMYT, in collaboration with Bangladesh Agricultural Research Institute (BARI)"
bundled innovations,uses,maize,extracted,Maize Commercialization Model (MCM) in Nepal
bundled innovations,targets,smallholder farmers,extracted,"farmer cooperatives where women, youth and indigenous people will access new technologies"
biological inputs,addresses,climate change mitigation,extracted,reducing greenhouse gas emissions from farming
participatory breeding,targets,smallholder farmers,extracted,co-designed with both women and men as users
gender-responsive budgeting,located_in,Bangladesh,extracted,"Ministry of Finance, Government of Bangladesh"
adaptive management,uses,CGIAR,extracted,CGIAR's efforts to implement the Pause & Reflect adaptive management approach
multi-stakeholder platforms,addresses,water conflicts,extracted,"DTWGs facilitate inclusive dialogue, cross-learning, coordinated planning, and community-driven action"
WorldFish,collaborates_with,International Water Management Institute,extracted,WorldFish and the International Water Management Institute (IWMI) partnered
human-centered design,addresses,irrigation access,extracted,human-centered design methodology to identify and address these critical gaps in the irrigation value chain
Nigeria,uses,human-centered design,extracted,The Nigerian government has now incorporated this human-centered design framework into their agricultural policy planning
International Livestock Research Institute,uses,co-design,extracted,ILRI organized a collaborative workshop in Ethiopia to bring together dairy cattle stakeholders
blended financing,targets,climate resilience,extracted,mobilizing the financial resources required for transformative change in agrifood systems
International Livestock Research Institute,uses,digital data capture,extracted,training on the Africa Asia Dairy Genetic Gains platform and digital data capture tools
ICARDA,collaborates_with,CIMMYT,extracted,ICARDA and CIMMYT prepared a USD 100 million proposal
genetic improvement,targets,dairy cattle,extracted,"training program focused on selecting appropriate dairy cattle breeds, implementing genetic improvement strategies"
circular bioeconomy,located_in,Addis Ababa,extracted,"Stakeholder Analysis for Circular Bioeconomy (CBE) in Addis Ababa, Ethiopia"
cold chain transportation,targets,tomatoes,extracted,Temperature-controlled truck services for transporting tomatoes
cold chain transportation,addresses,post-harvest loss reduction,extracted,addresses the critical problem of post-harvest losses
economic surplus modeling,targets,cassava,extracted,research on the economic impact of Cassava Brown Streak Disease (CBSD)
Cassava Brown Streak Disease,targets,cassava,extracted,major constraint to cassava production in Sub-Saharan Africa
conservation agriculture,addresses,climate change,extracted,Conservation agriculture (CA) can help address climate stressors
trust in extension systems,related_to,conservation agriculture,extracted,farmers are more likely to adopt CA when they trust the sources of extension advisories
mechanized direct seeded rice,targets,rice,extracted,training on best agronomic practices for mechanized direct seeded rice production
International Rice Research Institute,uses,capacity building,extracted,IRRI delivered training on best agronomic practices
integrated rice-field pond systems,targets,smallholder farmers,extracted,widespread adoption of integrated rice-field pond systems demonstrates a proven innovation
integrated rice-field pond systems,located_in,Cambodia,extracted,currently implemented by 126 farmers across rural Cambodia
edutainment,uses,Munda Makeover,extracted,"CGIAR has supported the production of Munda Makeover, modeled after Kenya's popular TV show"
RIAPA model,located_in,Rwanda,extracted,Rwanda's Ministry incorporated IFPRI's RIAPA model
south-south cooperation,uses,capacity building,extracted,peer-to-peer cooperation and structured knowledge exchange
feed and forage innovations,located_in,Ethiopia,extracted,Bundling of feed and forage innovations in Central Ethiopia and Amhara regions
smallholder farmers,uses,integrated rice-field pond systems,extracted,Farmers are actively using ponds to diversify food production
genetic improvement program,uses,family-based selection,extracted,utilizes family-based selection to develop a faster-growing strain
genetic improvement program,targets,smallholder farmer,extracted,aim of significantly increasing aquaculture productivity and farmer income
rohu,part_of,genetic improvement program,extracted,Rohu Carp Genetic Improvement Program
silver carp,part_of,genetic improvement program,extracted,Silver Carp Genetic Improvement Program
genetic improvement program,located_in,Bangladesh,extracted,increasing aquaculture productivity and farmer income in Bangladesh
integrated farming systems,addresses,food security,extracted,"critical for improving livelihoods, food security, and resilience"
digital agricultural advisory,targets,smallholder farmer,extracted,"randomized experiment with 1,685 farming households"
intra-household information sharing,related_to,gender roles,extracted,"sharing patterns are systematically influenced by gender, age, beliefs about gender roles"
participatory co-design,uses,agroecological transition,extracted,support agroecological transition for improved landscape multi-functionality
ICARDA,uses,randomized controlled trial,extracted,evaluation uses randomized controlled trial methods
water-saving technologies,targets,smallholder farmer,extracted,help smallholder and medium-sized farmers in Uzbekistan adopt water-saving technologies
RiceAdvice Lite,produces,location-specific recommendations,extracted,"deliver location-specific, climate-smart agronomic recommendations"
RiceAdvice Lite,located_in,Mali,extracted,RiceAdvice Lite in Mali is deployed by seven service providers
genomic profiling,uses,whole-genome sequencing,extracted,using whole-genome sequencing
Enterotoxigenic Escherichia coli,located_in,Kenya,extracted,livestock isolates from Kenya
hyperspectral imaging,addresses,seed health assessment,extracted,enhance seed health assessment in germplasm exchange
Alternaria padwickii,targets,rice,extracted,Detection of Alternaria padwickii in Rice Seeds
digital soil sensing,located_in,India,extracted,tested by ICRISAT to rapidly assess soil properties for farmers in India
IITA,collaborates_with,ISABU,extracted,IITA partnered with national research institutions ISABU
IITA,collaborates_with,CNRA,extracted,IITA partnered with national research institutions ISABU in Burundi and CNRA in Côte d'Ivoire
systems thinking,part_of,aquatic food systems,extracted,Building on systems thinking principles
capacity sharing,uses,CapSha Marketplace,extracted,guide the design of the CapSha Marketplace
Agent Bi,targets,field agent,extracted,"turning fragmented, informal field agent networks into credentialed, and data rich eco-systems"
theory of change,part_of,multifunctional landscapes,extracted,supports the Multifunctional Landscapes Science Program's Theory of Change implementation
science of scaling,addresses,agricultural innovation,extracted,how agricultural and food system innovations achieve impact at scale
CGIAR,uses,artificial intelligence hub,extracted,CGIAR established an artificial intelligence hub in Abu Dhabi
artificial intelligence hub,located_in,Abu Dhabi,extracted,CGIAR established an artificial intelligence hub in Abu Dhabi
ICTA,produces,biofortification,extracted,biofortified varieties showcased were maize ICTA B-15 ACP+Zn and ICTA HB-18 ACP+Zn
technology transfer,targets,smallholder farmer,extracted,"promoting their dissemination and adoption by extension agents, promoters, technicians, farmers"
biofortification,addresses,nutrition-sensitive aquaculture,inferred,enhance agricultural production and human nutrition
Alliance of Bioversity International and CIAT,uses,diagnostic bootcamp,extracted,Agribusiness bootcamps implemented in Malawi and Zambia by the Alliance
diagnostic bootcamp,located_in,Malawi,extracted,bootcamps implemented in Malawi and Zambia
diagnostic bootcamp,located_in,Zambia,extracted,bootcamps implemented in Malawi and Zambia
agribusiness acceleration,uses,last-mile distribution,extracted,highlighting broken and unstructured distribution channels
agent network optimization,addresses,last-mile distribution,extracted,agent network optimization can function as a structured de-risking mechanism
forage legume integration,located_in,Kenya,extracted,"CIAT Alliance organized field day training for livestock producers in Machakos, Makueni, and Kajiado counties"
Crotalaria juncea,is_a,forage legume integration,extracted,we evaluated the agronomic performance of 4 forage legumes including three Lablab purpureus lines and one Crotalaria spp
Lablab purpureus,is_a,forage legume integration,extracted,we evaluated the agronomic performance of 4 forage legumes including three Lablab purpureus lines
Machakos,located_in,Kenya,extracted,"livestock producers in Machakos, Makueni, and Kajiado counties"
Makueni,located_in,Kenya,extracted,"livestock producers in Machakos, Makueni, and Kajiado counties"
Kajiado,located_in,Kenya,extracted,"livestock producers in Machakos, Makueni, and Kajiado counties"
mola carplet,is_a,nutrition-sensitive aquaculture,extracted,Recognized as a key species for promoting nutrition-sensitive aquaculture
Amblypharyngodon mola,is_a,mola carplet,extracted,"Small indigenous fish species, such as mola carplet (Amblypharyngodon mola)"
nutrition-sensitive aquaculture,located_in,Odisha,extracted,"integrating mola seed production into an existing carp hatchery in Odisha, India"
village-led action research,addresses,multifunctional landscapes,extracted,collective action for sustainable wetland management
quantitative trait locus mapping,targets,Tilapia Lake Virus,extracted,Fine mapping and functional annotation of a QTL for resistance to Tilapia Lake Virus
Nile tilapia,is_a,Oreochromis niloticus,extracted,resistance to Tilapia Lake Virus (TiLV) in a breeding Nile tilapia (Oreochromis niloticus)
genetic improvement program,uses,optimal contribution selection,extracted,WorldFish Genetic Improvement Program Data Management Systems
rice-field pond systems,located_in,Cambodia,extracted,Rice-field pond (RFP) systems have become vital micro-reservoirs within Cambodia's rice-based farming landscapes
Prey Veng,located_in,Cambodia,extracted,RFP practices around Boeng Sneh in Prey Veng Province
Kampong Thom,located_in,Cambodia,extracted,"integrated rice-prawn-vegetable farming system in rainfed lowland rice areas of Santuk District, Kampong Thom Province"
integrated farming systems,uses,rice-field pond systems,extracted,integrated rice-prawn-vegetable farming system
multifunctional landscapes,uses,integrated farming systems,extracted,CGIAR's Multifunctional Landscapes program developed integrated farming systems
WorldFish,uses,genetic improvement program,extracted,WorldFish Genetic Improvement Program Data Management Systems
fish genetic improvement,targets,tilapia,extracted,enhance the genetics of indigenous fish species to reduce reliance on commercial farming of non-native tilapia species
SADC,uses,fish genetic improvement,extracted,Southern African Development Community's fish genetics improvement program
gender-responsive programming,targets,smallholder farmers,inferred,ensure that women's needs are met in fish genetic improvement programs
eLandCare,provides,soil and water conservation,extracted,provides site-specific recommendations for soil and water conservation
eLandCare,targets,extension agents,extracted,"designed for professionals in agriculture, forestry, and land management"
agroecological products,located_in,Lao PDR,extracted,"overview of market intermediary landscape, value chains related to agroecological products in Lao PDR"
GloMIP,produces,market intelligence,extracted,Global Market Intelligence Platform designed to inform product and technology targeting
AfricaRice,produces,bankable investment projects,extracted,"translated validated rice innovation bundles into large-scale, bankable investment projects"
AfricaRice,collaborates_with,African Development Bank,extracted,positioning itself as trusted technical partner to African Development Bank
improved seed adoption,targets,smallholder farmers,extracted,accelerate the adoption and turnover of improved crop varieties among smallholder farmers
rapid cycle recurrent selection,uses,rice,extracted,RCRS approach in rice reduces breeding cycle time from three years to one year
ICARDA,collaborates_with,EIAR,extracted,ICARDA in collaboration with Ethiopian Institute of Agricultural Research
gender transformative research,targets,plant breeders,extracted,"participants drawn from plant breeding technologists, plant pathologists, socio-economists"
IRRI,collaborates_with,TARI,extracted,researchers from International Rice Research Institute in collaboration with Tanzania Agricultural Research Institute
rice millers,located_in,Tanzania,extracted,cross-sectional survey of 214 rice millers across four districts in Morogoro Province
CIP,uses,capacity building,extracted,CIP delivered three training sessions to stakeholders
direct-seeded rice,located_in,Cambodia,extracted,platforms in Cambodia and Vietnam focused on mechanized direct seeding
direct-seeded rice,located_in,Vietnam,extracted,platforms in Cambodia and Vietnam focused on mechanized direct seeding
climate-resilient agriculture,located_in,Tanzania,extracted,Tanzania Seed Sector Development Strategy for climate-resilient seed system
USAID,collaborates_with,Tanzania,extracted,Government of Tanzania supported by USAID through the ASPIRES program
agroclimatic information,located_in,Guatemala,extracted,climate monitors in Guatemala for agroclimatic information
multi-stakeholder engagement,uses,capacity building,inferred,150 stakeholders participated in co-creation ensuring broad ownership
user-centered design,uses,innovation validation,extracted,user-centered approaches for understanding problem space before designing solutions
school meal programs,addresses,gender equality,extracted,school meal programs have the potential to drive progress toward gender equality
scoping review,produces,evidence base,extracted,robust evidence base on gender in school meal programs is needed
human-centered design,addresses,technology diffusion,extracted,human-centered design can help unlock bottlenecks in the diffusion of small-scale irrigation
small-scale irrigation,produces,agricultural productivity,extracted,small-scale irrigation has positive impacts on agricultural productivity
small-scale irrigation,targets,smallholder farmers,extracted,adoption/scaling of SSI among smallholders
participatory validation,located_in,India,extracted,developed through a participatory validation process in India
bodyweight estimation,targets,smallholder farmers,extracted,serves many practical purposes for livestock farmers in sub-Saharan Africa
segmented regression,produces,improved prediction accuracy,extracted,segmented regression had superior predictive accuracy
drone-based monitoring,uses,atmospheric dispersion modeling,extracted,estimates methane emission rates by assimilating drone and flux tower observations into an atmospheric dispersion model
bayesian inference,produces,emission factors,extracted,Bayesian estimates aligned with Tier 2 emission values
ICARDA,collaborates_with,Arba Minch Agricultural Research Center,extracted,assessed by Arba Minch Agricultural Research Center in collaboration with ICARDA
Panicum maximum,located_in,Ethiopia,extracted,released for cultivation in Southern and Central Ethiopia
policy coherence,addresses,multifunctional landscapes,extracted,assesses policy coherence and collisions in multifunctional landscapes
multifunctional landscapes,located_in,Zimbabwe,extracted,multifunctional landscapes in Zimbabwe
crop failure,located_in,Sub-Saharan Africa,extracted,crop failure on smallholder farms in Sub-Saharan Africa
climate-smart agriculture,addresses,crop failure,inferred,effectiveness of widely promoted climate smart agricultural practices to mitigate against losses
capacity development,targets,CGIAR,extracted,inform CGIAR's future capacity sharing work
enteric fermentation,produces,greenhouse gas emissions,extracted,enteric fermentation accounts for 80 to 90% of total emissions
cattle,produces,enteric fermentation,extracted,enteric methane emissions from cattle
biogas production,addresses,greenhouse gas emissions,inferred,estimating greenhouse gas emission reduction from livestock manure management through biodigesters
emission factors,uses,IPCC,extracted,using IPCC Tier 2 methodology
CLEANED tool,located_in,Northern Ghana,extracted,assessed using the CLEANED tool
smallholder farmers,located_in,Kenya,inferred,evidence from Kenya's livestock farmers
drone-based monitoring,located_in,Kenya,extracted,"drone measurements over cattle, sheep, goats, and camels"
greenhouse gas inventory,uses,emission factors,extracted,strengthen national greenhouse gas inventories
anaerobic digestion,produces,biomethane potential,extracted,assessed the biomethane potential (BMP) of representative organic waste streams
anaerobic digestion,addresses,circular bioeconomy,extracted,anaerobic digestion as a circular economy solution
co-digestion,part_of,anaerobic digestion,extracted,co-digestion of market or food waste with fish waste
pioneer positive deviance,uses,peer learning networks,extracted,connects farmers through peer learning networks
ILRI,uses,pioneer positive deviance,extracted,ILRI's Climate Adaptation Pioneers program
climate adaptation,targets,smallholder farmers,extracted,"farmers already developing scalable, locally appropriate solutions"
whole-farm innovation bundles,addresses,smallholder farmers,extracted,bundled whole-farm innovations in Malawi's maize-based mixed farming systems
socio-technical innovation bundles,part_of,whole-farm innovation bundles,extracted,Socio-Technical Innovation Bundles (STIBs) that integrate improved cropping systems
responsible scaling,uses,whole-farm innovation bundles,extracted,applies responsible scaling principles across three complementary dimensions
integrated catchment management,part_of,whole-farm innovation bundles,extracted,landscape-level bundle anchored in Integrated Catchment Management
MaliDMS,uses,WaPOR,extracted,based on WaPOR-derived and other high resolution remote-sensing data
drought monitoring,uses,MaliDMS,extracted,Mali Drought Monitoring System helps monitor drought
gender-transformative approaches,targets,smallholder farmers,extracted,"empowering women, youth, and PWDs for resilient agriculture"
water accounting,located_in,Punjab,extracted,government partners in Punjab and KP
irrigation demand management,uses,Soil Moisture Sensors,extracted,Soil Moisture Sensors (SMS) field training
early warning systems,uses,PakDMS,extracted,Early Drought Warning System (PakDMS)
tricot approach,uses,ClimMob platform,extracted,data managed through the ClimMob platform
citizen science,part_of,tricot approach,extracted,"tricot emphasizes citizen science, on-farm testing"
participatory research,uses,tricot approach,extracted,tricot emphasizes participatory research
digital data collection,uses,Open Data Kit,extracted,digital tools such as Open Data Kit (ODK)
capacity development,uses,training of trainers,extracted,Training of Trainers (ToT) session
cassava,produces,FeedCalculator,extracted,trained on animal feed rations and formulation using the FeedCalculator
Embu,located_in,Kenya,extracted,"farmers in Embu, Kenya"
Bomet County,located_in,Kenya,extracted,Kenya's Bomet County
maize,located_in,Malawi,extracted,Malawi's maize-based smallholder farming systems
triadic comparisons of technology options,uses,ClimMob,extracted,supported by the ClimMob digital platform
1000FARMS,uses,triadic comparisons of technology options,extracted,1000FARMS participatory crop testing project
participatory variety selection,uses,triadic comparisons of technology options,extracted,triadic comparisons of technology options (Tricot-PVS)
R-Instat,uses,triadic comparisons of technology options,extracted,use the R-Instat software to analyze tricot data effectively
extension agents,uses,triadic comparisons of technology options,extracted,trained field agents and agricultural extension experts
smallholder farmers,targets,participatory variety selection,extracted,"2,000 smallholder farmers in participatory variety testing"
IITA,collaborates_with,NRCRI,extracted,"conducted jointly with NRCRI, the International Institute of Tropical Agriculture"
cassava,uses,participatory variety selection,extracted,participatory cassava evaluation through tricot trials
soybean,uses,triadic comparisons of technology options,extracted,socioeconomic and agronomic data for soybean breed works
RUNRES,targets,smallholder farmers,extracted,supports small and medium-sized enterprises
citizen science,produces,food systems leadership,extracted,citizen science in shaping leadership identity and food systems leadership
Genesys,uses,data curation,extracted,upload formatted data Genesys
